temperature,humidity,weather_type,season,upper_wear,lower_wear,footwear,accessories
15.0,64,cloudy,spring,Light sweater,Chinos,Chukka boots,Cap
20.2,48,sunny,fall,Cotton T-shirt,Jeans,Canvas shoes,None
11.4,83,rainy,spring,Hooded rain jacket,Tailored joggers,Rubber-soled boots,Water-resistant watch
21.3,91,rainy,spring,Waterproof shell jacket,Jeans,Rain boots,Umbrella
25.9,97,rainy,summer,Hooded rain jacket,Jeans,Rubber-soled boots,Water-resistant watch
4.2,47,cloudy,winter,Wool sweater + Overcoat,Corduroy pants,Leather boots,Watch
4.2,63,snowy,winter,Wool coat + Sweater,Wool trousers,Insulated boots,Gloves + Beanie
12.3,72,cloudy,winter,Crewneck sweatshirt,Chinos,Loafers,Light scarf
13.1,91,misty,fall,Light trench coat,Chinos,Chukka boots,Watch
25.7,70,windy,spring,Cotton T-shirt,Jeans,Loafers,Cap
31.3,38,sunny,summer,Linen short-sleeve shirt,Light chinos,Slip-on loafers,Sunglasses + Cap
20.4,94,stormy,fall,Waterproof shell jacket,Chinos,Waterproof sneakers,Water-resistant watch
35.1,70,rainy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Waterproof sneakers,Water-resistant watch
25.4,81,cloudy,spring,Polo shirt,Tailored trousers,Loafers,Sunglasses
11.9,52,windy,winter,Turtleneck + Jacket,Slim jeans,Chukka boots,Cap
16.3,46,sunny,spring,Long-sleeve Henley,Slim jeans,Chukka boots,Light scarf
23.6,79,cloudy,spring,Short-sleeve button-down,Tailored trousers,Canvas shoes,Cap
27.7,80,cloudy,summer,Linen short-sleeve shirt,Light chinos,Low-top sneakers,Cap
3.3,76,snowy,winter,Wool coat + Sweater,Wool trousers,Insulated boots,Gloves + Beanie
14.9,60,windy,spring,Windbreaker + Tee,Chinos,Loafers,Watch
16.3,79,stormy,spring,Hooded rain jacket,Slim jeans,Rain boots,Water-resistant watch
11.6,94,rainy,spring,Waterproof shell jacket,Chinos,Waterproof sneakers,Umbrella + Cap
39.0,73,rainy,summer,Light rain jacket,Dark chinos,Waterproof sneakers,Umbrella
39.1,27,sunny,summer,Linen short-sleeve shirt,Linen shorts,Breathable sneakers,Sunglasses
11.4,52,cloudy,fall,Oxford shirt + Light jacket,Slim jeans,Sneakers,Watch
18.0,56,sunny,spring,Short-sleeve button-down,Chinos,Sneakers,Cap
11.2,78,cloudy,fall,Light sweater,Tailored joggers,Chukka boots,Watch
13.7,53,windy,fall,Light jacket + Henley,Slim jeans,Chukka boots,Light scarf
19.6,71,rainy,spring,Waterproof shell jacket,Chinos,Waterproof sneakers,Umbrella
14.3,54,sunny,spring,Long-sleeve Henley,Chinos,Chukka boots,Minimal bracelet
39.9,37,windy,summer,Ultra-light T-shirt,Linen shorts,Breathable sneakers,None
1.0,45,sunny,winter,Turtleneck + Jacket,Chinos,Leather boots,Leather gloves
24.6,27,sunny,summer,Polo shirt,Chinos,Canvas shoes,Sunglasses
27.2,35,windy,summer,Linen short-sleeve shirt,Linen trousers,Low-top sneakers,Sunglasses
24.7,52,sunny,spring,Linen shirt,Chinos,Loafers,Cap
0.5,81,cloudy,winter,Wool sweater + Overcoat,Chinos,High-top sneakers,Watch
33.4,31,sunny,summer,Ultra-light T-shirt,Linen shorts,Slip-on canvas shoes,Sunglasses
13.0,46,windy,winter,Bomber jacket,Chinos,Chukka boots,Cap
-3.2,61,windy,winter,Turtleneck + Jacket,Wool trousers,Waterproof winter boots,Cap
28.2,54,cloudy,summer,Breathable T-shirt,Linen trousers,Slip-on loafers,Sunglasses
2.8,76,snowy,winter,Wool coat + Sweater,Wool trousers,Insulated boots,Wool scarf + Gloves
11.2,95,rainy,spring,Waterproof shell jacket,Chinos,Waterproof sneakers,Umbrella + Cap
12.6,70,misty,spring,Hoodie + Light jacket,Slim jeans,Chukka boots,Minimal bracelet
7.1,67,cloudy,winter,Puffer jacket,Dark jeans,Leather boots,Beanie
16.5,90,stormy,spring,Waterproof shell jacket,Tailored joggers,Waterproof sneakers,Umbrella
21.4,30,sunny,fall,Linen shirt,Chinos,Loafers,Sunglasses
34.0,89,stormy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rain boots,Umbrella
31.5,98,stormy,summer,Light rain jacket,Dark chinos,Rain boots,Umbrella + Cap
14.2,62,cloudy,spring,Light sweater,Slim jeans,Chukka boots,Watch
20.7,34,windy,spring,Bomber jacket,Tailored trousers,Loafers,Cap
14.7,52,windy,fall,Light jacket + Henley,Tailored joggers,Sneakers,Cap
19.4,82,misty,fall,Light trench coat,Chinos,Loafers,Watch
12.0,48,windy,spring,Bomber jacket,Chinos,Chukka boots,Light scarf
38.6,33,windy,summer,Linen tee,Linen shorts,Breathable sneakers,None
38.7,45,cloudy,summer,Linen tee,Athletic shorts,Breathable sneakers,Cap
19.3,59,sunny,spring,Cotton T-shirt,Chinos,Canvas shoes,Sunglasses
38.1,67,windy,summer,Sleeveless athletic top,Chino shorts,Slip-on canvas shoes,Cooling towel
12.4,50,cloudy,fall,Crewneck sweatshirt,Chinos,Loafers,Cap
17.6,78,rainy,spring,Hooded rain jacket,Chinos,Rain boots,Umbrella + Cap
-1.4,76,misty,winter,Turtleneck + Jacket,Wool trousers,Waterproof winter boots,Beanie + Ear warmers
-1.8,90,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Insulated boots,Wool scarf + Gloves
21.6,78,cloudy,fall,Cotton T-shirt,Chinos,Sneakers,Watch
3.1,93,snowy,winter,Parka + Thermal layer,Wool trousers,Insulated boots,Beanie + Thermal socks
3.8,77,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Waterproof winter boots,Beanie + Thermal socks
1.7,68,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Waterproof winter boots,Beanie + Thermal socks
21.8,99,rainy,fall,Waterproof shell jacket,Jeans,Waterproof sneakers,Umbrella + Cap
35.3,78,rainy,summer,Light rain jacket,Dark chinos,Rain boots,Water-resistant watch
8.1,60,sunny,fall,Flannel shirt + Coat,Chinos,Waterproof sneakers,Watch
31.7,80,rainy,summer,Quick-dry shirt + Rain shell,Dark chinos,Waterproof sneakers,Umbrella
22.9,90,misty,spring,Short-sleeve button-down,Tailored trousers,Loafers,Watch
13.9,34,sunny,winter,Crewneck sweatshirt,Slim jeans,Loafers,Watch
21.4,70,cloudy,spring,Short-sleeve button-down,Tailored trousers,Loafers,Cap
24.0,38,windy,spring,Cotton T-shirt,Jeans,Sneakers,Cap
24.4,86,misty,spring,Polo shirt,Jeans,Sneakers,Cap
13.3,41,windy,fall,Windbreaker + Tee,Slim jeans,Sneakers,Watch
-2.1,49,cloudy,winter,Wool sweater + Overcoat,Corduroy pants,Waterproof winter boots,Beanie + Ear warmers
13.2,82,rainy,spring,Waterproof shell jacket,Chinos,Rain boots,Umbrella + Cap
10.9,62,cloudy,spring,Light sweater,Chinos,Chukka boots,Light scarf
20.5,35,windy,fall,Light jacket + Henley,Tailored trousers,Loafers,Light scarf
16.5,72,cloudy,fall,Long-sleeve Henley,Slim jeans,Chukka boots,Light scarf
6.5,34,sunny,winter,Puffer jacket,Corduroy pants,Leather boots,Beanie
37.2,35,sunny,summer,Moisture-wicking tee,Chino shorts,Slip-on canvas shoes,Sunglasses + Cap
24.4,58,cloudy,spring,Polo shirt,Chinos,Loafers,Sunglasses
25.8,76,rainy,spring,Waterproof shell jacket,Tailored trousers,Rain boots,Water-resistant watch
6.8,74,cloudy,winter,Turtleneck + Jacket,Chinos,Leather boots,Beanie
-3.7,77,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Insulated boots,Beanie + Thermal socks
1.3,71,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Insulated boots,Wool scarf + Gloves
22.4,54,sunny,spring,Polo shirt,Jeans,Canvas shoes,None
32.8,57,sunny,summer,Moisture-wicking tee,Linen trousers,Low-top sneakers,Sunglasses
10.7,58,windy,winter,Wool sweater + Overcoat,Chinos,Chukka boots,Watch
31.3,99,rainy,summer,Light rain jacket,Quick-dry chinos,Rain boots,Umbrella + Cap
25.9,76,cloudy,summer,Cotton T-shirt,Chinos,Sneakers,Watch
31.0,47,sunny,summer,Linen short-sleeve shirt,Linen trousers,Slip-on loafers,Sunglasses
12.3,79,misty,fall,Light trench coat,Slim jeans,Chukka boots,Light scarf
10.9,58,sunny,spring,Light sweater,Chinos,Loafers,Minimal bracelet
14.1,58,cloudy,fall,Long-sleeve Henley,Tailored joggers,Chukka boots,Light scarf
9.8,80,misty,fall,Light trench coat,Dark jeans,High-top sneakers,Watch
20.7,85,stormy,spring,Hooded rain jacket,Jeans,Rain boots,Water-resistant watch
21.2,78,cloudy,fall,Cotton T-shirt,Chinos,Canvas shoes,Watch
21.9,33,windy,fall,Light jacket + Henley,Jeans,Sneakers,Cap
16.1,54,sunny,spring,Long-sleeve Henley,Slim jeans,Loafers,Minimal bracelet
2.9,35,windy,winter,Puffer jacket,Chinos,Waterproof sneakers,Light scarf
-6.0,48,cloudy,winter,Turtleneck + Jacket,Corduroy pants,Leather boots,Wool scarf
13.8,70,misty,fall,Hoodie + Light jacket,Slim jeans,Loafers,Minimal bracelet
25.8,93,rainy,summer,Hooded rain jacket,Chinos,Rubber-soled boots,Water-resistant watch
24.7,75,rainy,summer,Waterproof shell jacket,Tailored trousers,Rain boots,Water-resistant watch
24.9,82,rainy,spring,Waterproof shell jacket,Chinos,Rain boots,Umbrella
3.0,90,rainy,winter,Hooded rain jacket,Corduroy pants,Rubber-soled boots,Umbrella + Cap
12.8,54,sunny,spring,Long-sleeve Henley,Slim jeans,Chukka boots,Cap
17.7,91,rainy,fall,Hooded rain jacket,Slim jeans,Rain boots,Umbrella
21.2,73,cloudy,spring,Linen shirt,Tailored trousers,Canvas shoes,Cap
20.0,79,rainy,spring,Hooded rain jacket,Tailored trousers,Rubber-soled boots,Umbrella
33.3,80,cloudy,summer,Linen tee,Linen shorts,Slip-on canvas shoes,None
16.4,31,windy,fall,Windbreaker + Tee,Chinos,Chukka boots,Light scarf
20.9,81,stormy,spring,Waterproof shell jacket,Tailored trousers,Rain boots,Umbrella + Cap
7.5,45,sunny,winter,Wool sweater + Overcoat,Chinos,Waterproof sneakers,Leather gloves
24.8,81,rainy,summer,Waterproof shell jacket,Tailored trousers,Rubber-soled boots,Umbrella + Cap
22.5,55,sunny,spring,Polo shirt,Tailored trousers,Canvas shoes,Cap
25.4,42,windy,spring,Polo shirt,Tailored trousers,Sneakers,Watch
11.9,32,windy,spring,Windbreaker + Tee,Tailored joggers,Loafers,Watch
31.5,58,sunny,summer,Moisture-wicking tee,Chino shorts,Slip-on loafers,Cap
33.2,58,cloudy,summer,Sleeveless athletic top,Linen shorts,Sandals,Cap
-2.8,86,rainy,winter,Waterproof shell jacket,Thermal-lined jeans,Rubber-soled boots,Umbrella + Cap
27.5,51,sunny,summer,Moisture-wicking tee,Light chinos,Canvas sneakers,Sunglasses
38.5,68,cloudy,summer,Ultra-light T-shirt,Athletic shorts,Slip-on canvas shoes,None
23.1,79,misty,fall,Linen shirt,Chinos,Canvas shoes,Cap
12.7,90,rainy,fall,Waterproof shell jacket,Tailored joggers,Rubber-soled boots,Water-resistant watch
-1.8,47,sunny,winter,Wool sweater + Overcoat,Corduroy pants,Waterproof winter boots,Gloves + Beanie
23.0,51,sunny,fall,Polo shirt,Chinos,Loafers,Cap
-4.9,89,snowy,winter,Wool coat + Sweater,Wool trousers,Waterproof winter boots,Beanie + Thermal socks
8.3,90,rainy,fall,Waterproof shell jacket,Chinos,Rubber-soled boots,Umbrella
25.7,63,windy,summer,Linen shirt,Tailored trousers,Sneakers,Cap
21.2,71,rainy,fall,Hooded rain jacket,Tailored trousers,Rubber-soled boots,Umbrella + Cap
24.2,81,cloudy,spring,Linen shirt,Chinos,Canvas shoes,Watch
-1.7,81,snowy,winter,Insulated puffer jacket,Wool trousers,Insulated boots,Gloves + Beanie
23.4,76,rainy,spring,Hooded rain jacket,Tailored trousers,Rubber-soled boots,Water-resistant watch
-4.7,65,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Insulated boots,Wool scarf + Gloves
0.4,49,windy,winter,Puffer jacket,Chinos,Waterproof sneakers,Watch
26.7,77,misty,summer,Linen short-sleeve shirt,Light chinos,Canvas sneakers,Lightweight watch
26.1,94,stormy,summer,Quick-dry shirt + Rain shell,Dark chinos,Rubber-soled boots,Umbrella
11.3,35,sunny,spring,Light sweater,Tailored joggers,Sneakers,Cap
11.8,55,sunny,winter,Turtleneck + Jacket,Tailored joggers,Chukka boots,Minimal bracelet
18.8,83,misty,spring,Sweater + Windbreaker,Tailored trousers,Sneakers,Cap
19.4,92,misty,spring,Sweater + Windbreaker,Jeans,Canvas shoes,Sunglasses
34.6,76,cloudy,summer,Ultra-light T-shirt,Linen shorts,Sandals,Cooling towel
25.2,90,rainy,spring,Hooded rain jacket,Tailored trousers,Waterproof sneakers,Umbrella
12.2,54,cloudy,fall,Light sweater,Tailored joggers,Loafers,Minimal bracelet
22.1,69,misty,fall,Linen shirt,Chinos,Canvas shoes,Cap
33.1,59,cloudy,summer,Linen tee,Chino shorts,Slip-on canvas shoes,Sunglasses + Cap
38.5,43,sunny,summer,Ultra-light T-shirt,Chino shorts,Breathable sneakers,Cap
13.7,64,cloudy,spring,Oxford shirt + Light jacket,Chinos,Sneakers,Light scarf
21.5,49,cloudy,spring,Polo shirt,Jeans,Loafers,Sunglasses
15.7,46,sunny,fall,Crewneck sweatshirt,Chinos,Sneakers,Watch
12.6,47,sunny,spring,Long-sleeve Henley,Tailored joggers,Sneakers,Watch
12.9,80,cloudy,spring,Long-sleeve Henley,Tailored joggers,Chukka boots,Cap
-0.8,78,snowy,winter,Parka + Thermal layer,Thermal-lined jeans,Waterproof winter boots,Gloves + Beanie
33.5,33,windy,summer,Linen tee,Chino shorts,Sandals,Sunglasses + Cap
-0.5,76,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Insulated boots,Gloves + Beanie
22.4,44,sunny,fall,Cotton T-shirt,Tailored trousers,Canvas shoes,None
8.7,86,rainy,fall,Waterproof shell jacket,Corduroy pants,Rain boots,Umbrella
27.7,77,cloudy,summer,Lightweight polo,Light chinos,Canvas sneakers,Lightweight watch
35.3,53,sunny,summer,Ultra-light T-shirt,Linen shorts,Sandals,Cap
25.7,40,sunny,summer,Linen shirt,Jeans,Canvas shoes,Cap
39.9,60,cloudy,summer,Ultra-light T-shirt,Chino shorts,Slip-on canvas shoes,Cooling towel
18.9,54,cloudy,spring,Linen shirt,Tailored trousers,Loafers,None
20.5,61,windy,spring,Windbreaker + Tee,Tailored trousers,Sneakers,Watch
20.8,56,windy,fall,Windbreaker + Tee,Chinos,Loafers,Cap
15.0,70,misty,fall,Hoodie + Light jacket,Slim jeans,Sneakers,Watch
14.4,86,misty,fall,Light trench coat,Tailored joggers,Chukka boots,Watch
11.2,90,rainy,fall,Waterproof shell jacket,Chinos,Rubber-soled boots,Umbrella
24.0,31,sunny,summer,Linen shirt,Jeans,Loafers,Sunglasses + Cap
21.8,27,sunny,spring,Cotton T-shirt,Tailored trousers,Loafers,Cap
28.4,85,misty,summer,Linen short-sleeve shirt,Linen trousers,Slip-on loafers,Sunglasses
32.1,45,sunny,summer,Moisture-wicking tee,Linen trousers,Low-top sneakers,Cap
39.5,87,rainy,summer,Light rain jacket,Dark chinos,Waterproof sneakers,Umbrella + Cap
9.8,53,cloudy,winter,Turtleneck + Jacket,Corduroy pants,High-top sneakers,Watch
-0.7,35,sunny,winter,Wool sweater + Overcoat,Corduroy pants,Leather boots,Thermal socks
15.7,78,cloudy,spring,Oxford shirt + Light jacket,Chinos,Chukka boots,Light scarf
11.8,40,windy,fall,Windbreaker + Tee,Chinos,Sneakers,Watch
25.7,57,sunny,summer,Short-sleeve button-down,Tailored trousers,Sneakers,Sunglasses + Cap
31.9,100,rainy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rubber-soled boots,Umbrella
2.5,80,cloudy,winter,Turtleneck + Jacket,Chinos,High-top sneakers,Leather gloves
11.9,64,cloudy,spring,Oxford shirt + Light jacket,Tailored joggers,Sneakers,Watch
11.6,58,cloudy,spring,Oxford shirt + Light jacket,Chinos,Chukka boots,Cap
25.3,58,cloudy,spring,Polo shirt,Jeans,Loafers,Watch
14.0,55,sunny,fall,Oxford shirt + Light jacket,Slim jeans,Sneakers,Light scarf
21.5,64,windy,spring,Bomber jacket,Jeans,Sneakers,Cap
10.8,51,windy,fall,Bomber jacket,Slim jeans,Loafers,Watch
7.8,47,cloudy,winter,Puffer jacket,Corduroy pants,Waterproof sneakers,Beanie
29.8,45,sunny,summer,Lightweight polo,Linen trousers,Low-top sneakers,Sunglasses
39.4,38,windy,summer,Ultra-light T-shirt,Chino shorts,Breathable sneakers,None
15.2,33,windy,fall,Windbreaker + Tee,Slim jeans,Chukka boots,Watch
33.8,60,cloudy,summer,Tank top + Open shirt,Athletic shorts,Sandals,None
20.4,71,cloudy,spring,Short-sleeve button-down,Jeans,Loafers,Cap
10.9,71,rainy,fall,Waterproof shell jacket,Tailored joggers,Waterproof sneakers,Umbrella + Cap
-0.8,64,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Insulated boots,Beanie + Thermal socks
12.0,79,rainy,fall,Waterproof shell jacket,Chinos,Waterproof sneakers,Water-resistant watch
29.2,50,windy,summer,Lightweight polo,Light chinos,Slip-on loafers,Cap
17.3,51,sunny,spring,Crewneck sweatshirt,Tailored joggers,Chukka boots,Cap
27.6,48,cloudy,summer,Lightweight polo,Linen trousers,Slip-on loafers,None
10.0,75,cloudy,spring,Light sweater,Slim jeans,Loafers,Minimal bracelet
3.8,51,sunny,winter,Turtleneck + Jacket,Dark jeans,High-top sneakers,Watch
18.8,38,windy,spring,Bomber jacket,Jeans,Sneakers,Watch
11.5,33,windy,fall,Light jacket + Henley,Tailored joggers,Chukka boots,Watch
37.7,31,sunny,summer,Linen short-sleeve shirt,Athletic shorts,Slip-on canvas shoes,Cap
31.9,80,rainy,summer,Light rain jacket,Quick-dry chinos,Rain boots,Umbrella + Cap
21.6,33,sunny,spring,Polo shirt,Chinos,Loafers,Watch
36.6,63,cloudy,summer,Sleeveless athletic top,Chino shorts,Slip-on canvas shoes,Sunglasses + Cap
36.0,30,sunny,summer,Ultra-light T-shirt,Chino shorts,Sandals,Sunglasses
37.3,81,stormy,summer,Light rain jacket,Quick-dry chinos,Rain boots,Water-resistant watch
13.6,62,cloudy,winter,Oxford shirt + Light jacket,Slim jeans,Sneakers,Watch
-3.8,92,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Insulated boots,Wool scarf + Gloves
-1.1,81,cloudy,winter,Puffer jacket,Corduroy pants,Leather boots,Wool scarf
4.0,85,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Insulated boots,Gloves + Beanie
23.7,74,cloudy,fall,Linen shirt,Jeans,Canvas shoes,Watch
1.2,30,sunny,winter,Turtleneck + Jacket,Corduroy pants,Waterproof sneakers,Leather gloves
31.8,66,cloudy,summer,Lightweight polo,Linen trousers,Canvas sneakers,Lightweight watch
33.6,66,windy,summer,Ultra-light T-shirt,Athletic shorts,Slip-on canvas shoes,Cap
12.2,59,cloudy,fall,Long-sleeve Henley,Tailored joggers,Chukka boots,Minimal bracelet
19.9,78,misty,spring,Hoodie + Light jacket,Jeans,Canvas shoes,Sunglasses
18.9,73,cloudy,fall,Polo shirt,Tailored trousers,Loafers,Cap
9.8,43,sunny,fall,Sweater + Jacket,Dark jeans,Leather boots,Light scarf
3.7,65,snowy,winter,Insulated puffer jacket,Wool trousers,Insulated boots,Beanie + Thermal socks
1.2,94,snowy,winter,Wool coat + Sweater,Wool trousers,Waterproof winter boots,Beanie + Thermal socks
-0.7,71,rainy,winter,Waterproof shell jacket,Wool trousers,Waterproof sneakers,Water-resistant watch
13.0,43,sunny,spring,Light sweater,Tailored joggers,Chukka boots,Light scarf
20.3,54,windy,fall,Windbreaker + Tee,Tailored trousers,Canvas shoes,Cap
18.1,48,sunny,spring,Short-sleeve button-down,Jeans,Loafers,Cap
34.1,54,sunny,summer,Moisture-wicking tee,Linen shorts,Sandals,Sunglasses + Cap
31.2,59,sunny,summer,Ultra-light T-shirt,Light chinos,Low-top sneakers,Cap
14.8,85,stormy,spring,Hooded rain jacket,Chinos,Rubber-soled boots,Water-resistant watch
17.4,75,rainy,spring,Waterproof shell jacket,Slim jeans,Rain boots,Umbrella + Cap
5.4,33,sunny,winter,Wool sweater + Overcoat,Chinos,High-top sneakers,Leather gloves
19.0,54,windy,fall,Windbreaker + Tee,Tailored trousers,Canvas shoes,Watch
8.9,74,cloudy,fall,Flannel shirt + Coat,Corduroy pants,High-top sneakers,Beanie
23.6,69,windy,spring,Light jacket + Henley,Chinos,Loafers,Watch
21.2,51,cloudy,spring,Short-sleeve button-down,Jeans,Canvas shoes,Sunglasses
22.6,50,cloudy,spring,Linen shirt,Chinos,Loafers,Sunglasses
14.4,61,cloudy,fall,Light sweater,Chinos,Loafers,Light scarf
17.1,87,rainy,fall,Hooded rain jacket,Chinos,Rain boots,Water-resistant watch
2.3,74,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Waterproof winter boots,Beanie + Thermal socks
15.0,57,sunny,fall,Light sweater,Chinos,Chukka boots,Cap
23.6,35,windy,spring,Light jacket + Henley,Chinos,Canvas shoes,Cap
25.8,84,rainy,summer,Waterproof shell jacket,Jeans,Rubber-soled boots,Water-resistant watch
34.0,82,cloudy,summer,Tank top + Open shirt,Chino shorts,Slip-on canvas shoes,Sunglasses + Cap
28.5,53,sunny,summer,Lightweight polo,Chino shorts,Slip-on loafers,Sunglasses
18.6,57,sunny,fall,Linen shirt,Chinos,Sneakers,Cap
14.1,81,cloudy,fall,Long-sleeve Henley,Slim jeans,Loafers,Watch
25.5,87,rainy,spring,Hooded rain jacket,Chinos,Rain boots,Umbrella + Cap
20.9,81,rainy,spring,Waterproof shell jacket,Chinos,Rubber-soled boots,Umbrella + Cap
21.0,69,misty,fall,Linen shirt,Chinos,Sneakers,Cap
9.4,38,sunny,fall,Hoodie + Bomber jacket,Corduroy pants,Leather boots,Light scarf
22.6,85,stormy,fall,Waterproof shell jacket,Chinos,Waterproof sneakers,Umbrella + Cap
24.5,73,cloudy,spring,Polo shirt,Jeans,Sneakers,Sunglasses
24.1,72,cloudy,spring,Linen shirt,Jeans,Loafers,Cap
21.1,57,windy,fall,Windbreaker + Tee,Chinos,Sneakers,Cap
6.2,78,rainy,winter,Waterproof shell jacket,Chinos,Rain boots,Umbrella
21.5,62,cloudy,fall,Linen shirt,Chinos,Loafers,None
11.1,46,cloudy,fall,Long-sleeve Henley,Slim jeans,Loafers,Light scarf
11.1,69,windy,spring,Light jacket + Henley,Tailored joggers,Loafers,Cap
8.7,92,rainy,fall,Waterproof shell jacket,Chinos,Rubber-soled boots,Umbrella
22.0,96,rainy,fall,Waterproof shell jacket,Tailored trousers,Rubber-soled boots,Umbrella + Cap
2.8,92,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Insulated boots,Wool scarf + Gloves
16.0,52,cloudy,fall,Light sweater,Slim jeans,Loafers,Cap
15.3,78,cloudy,fall,Light sweater,Slim jeans,Sneakers,Cap
38.5,94,rainy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rubber-soled boots,Water-resistant watch
23.6,46,sunny,fall,Polo shirt,Jeans,Canvas shoes,None
12.2,87,rainy,winter,Waterproof shell jacket,Chinos,Rain boots,Umbrella + Cap
39.4,79,rainy,summer,Light rain jacket,Dark chinos,Waterproof sneakers,Umbrella + Cap
16.7,30,windy,fall,Light jacket + Henley,Chinos,Sneakers,Light scarf
17.6,54,cloudy,fall,Oxford shirt + Light jacket,Tailored joggers,Chukka boots,Light scarf
-4.9,74,snowy,winter,Wool coat + Sweater,Thermal-lined jeans,Insulated boots,Gloves + Beanie
10.6,84,stormy,fall,Waterproof shell jacket,Slim jeans,Waterproof sneakers,Umbrella + Cap
30.1,27,sunny,summer,Ultra-light T-shirt,Light chinos,Low-top sneakers,Sunglasses + Cap
-0.5,43,sunny,winter,Wool sweater + Overcoat,Corduroy pants,Insulated boots,Gloves + Beanie
7.8,80,cloudy,winter,Puffer jacket,Corduroy pants,Waterproof sneakers,Watch
33.8,51,windy,summer,Linen tee,Chino shorts,Sandals,Cap
24.0,69,misty,summer,Cotton T-shirt,Tailored trousers,Sneakers,None
13.6,75,cloudy,fall,Light sweater,Chinos,Chukka boots,Light scarf
25.1,36,sunny,summer,Linen shirt,Chinos,Sneakers,Sunglasses + Cap
17.9,26,sunny,fall,Light sweater,Chinos,Loafers,Cap
20.8,86,misty,fall,Short-sleeve button-down,Chinos,Canvas shoes,None
37.0,79,cloudy,summer,Tank top + Open shirt,Linen shorts,Breathable sneakers,None
2.8,92,snowy,winter,Insulated puffer jacket,Wool trousers,Waterproof winter boots,Beanie + Thermal socks
16.2,46,sunny,spring,Oxford shirt + Light jacket,Tailored joggers,Loafers,Watch
32.0,33,sunny,summer,Ultra-light T-shirt,Linen trousers,Low-top sneakers,Sunglasses
36.4,98,stormy,summer,Light rain jacket,Quick-dry chinos,Rain boots,Umbrella + Cap
26.3,96,rainy,summer,Quick-dry shirt + Rain shell,Dark chinos,Rubber-soled boots,Water-resistant watch
1.6,82,snowy,winter,Insulated puffer jacket,Wool trousers,Insulated boots,Beanie + Thermal socks
27.4,76,rainy,summer,Quick-dry shirt + Rain shell,Quick-dry chinos,Rain boots,Umbrella
10.2,68,cloudy,spring,Long-sleeve Henley,Chinos,Chukka boots,Cap
39.1,53,sunny,summer,Linen short-sleeve shirt,Athletic shorts,Sandals,Cap
8.5,78,cloudy,fall,Sweater + Jacket,Dark jeans,High-top sneakers,Beanie
-2.4,67,cloudy,winter,Puffer jacket,Corduroy pants,Waterproof winter boots,Thermal socks
20.7,44,sunny,spring,Short-sleeve button-down,Tailored trousers,Sneakers,Sunglasses
13.0,69,cloudy,fall,Crewneck sweatshirt,Slim jeans,Sneakers,Light scarf
19.9,94,misty,spring,Sweater + Windbreaker,Chinos,Canvas shoes,Cap
9.0,73,rainy,fall,Hooded rain jacket,Corduroy pants,Rubber-soled boots,Water-resistant watch
16.5,50,sunny,spring,Long-sleeve Henley,Slim jeans,Chukka boots,Watch
30.4,60,cloudy,summer,Linen short-sleeve shirt,Light chinos,Low-top sneakers,Lightweight watch
11.3,71,cloudy,fall,Crewneck sweatshirt,Slim jeans,Chukka boots,Cap
20.7,92,rainy,spring,Hooded rain jacket,Chinos,Rubber-soled boots,Umbrella
23.3,48,cloudy,fall,Cotton T-shirt,Tailored trousers,Canvas shoes,None
34.6,48,cloudy,summer,Ultra-light T-shirt,Linen shorts,Slip-on canvas shoes,Sunglasses + Cap
17.2,35,sunny,spring,Crewneck sweatshirt,Chinos,Sneakers,Cap
38.6,56,cloudy,summer,Linen tee,Linen shorts,Breathable sneakers,Sunglasses + Cap
4.2,55,sunny,winter,Wool sweater + Overcoat,Dark jeans,High-top sneakers,Beanie
28.5,26,sunny,summer,Moisture-wicking tee,Light chinos,Canvas sneakers,Cap
30.5,83,rainy,summer,Light rain jacket,Quick-dry chinos,Rubber-soled boots,Umbrella + Cap
26.5,100,stormy,summer,Light rain jacket,Quick-dry chinos,Rubber-soled boots,Umbrella + Cap
10.2,81,stormy,fall,Waterproof shell jacket,Slim jeans,Rain boots,Water-resistant watch
15.2,37,sunny,fall,Light sweater,Slim jeans,Chukka boots,Watch
11.8,51,windy,fall,Windbreaker + Tee,Tailored joggers,Chukka boots,Cap
9.8,42,sunny,fall,Sweater + Jacket,Dark jeans,Waterproof sneakers,Watch
16.4,88,rainy,fall,Hooded rain jacket,Slim jeans,Rubber-soled boots,Umbrella
